Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2023-01-01 00:00:00+00:00,1196.13,1204.67,1190.57,1200.34,117762.0685,2023-01-01 23:59:59.999000+00:00,141014996.655708,233151.0,60055.5007,71918680.428805
2023-01-02 00:00:00+00:00,1200.33,1224.29,1193.0,1214.0,252794.14,2023-01-02 23:59:59.999000+00:00,306657437.527479,330000.0,123469.9434,149737175.610595
2023-01-03 00:00:00+00:00,1213.99,1219.89,1204.93,1214.55,205519.4944,2023-01-03 23:59:59.999000+00:00,249325343.252245,296709.0,97873.3515,118760573.010809
2023-01-04 00:00:00+00:00,1214.56,1272.6,1212.71,1256.9,457799.6648,2023-01-04 23:59:59.999000+00:00,571805761.158055,526420.0,236858.3427,295758154.621164
2023-01-05 00:00:00+00:00,1256.91,1259.95,1242.81,1251.24,272805.33,2023-01-05 23:59:59.999000+00:00,341379819.27811,339445.0,137396.5629,171968288.82744
2023-01-06 00:00:00+00:00,1251.25,1276.7,1236.0,1269.14,342344.2023,2023-01-06 23:59:59.999000+00:00,429648347.112603,444840.0,172277.4922,216252876.922836
2023-01-07 00:00:00+00:00,1269.13,1271.09,1261.3,1264.07,129474.2884,2023-01-07 23:59:59.999000+00:00,163760550.011656,242794.0,64457.8749,81530432.005823
2023-01-08 00:00:00+00:00,1264.06,1296.0,1257.77,1290.16,213636.7848,2023-01-08 23:59:59.999000+00:00,271373377.530058,341498.0,113501.533,144256844.746569
2023-01-09 00:00:00+00:00,1290.15,1344.91,1285.44,1320.39,581727.6968,2023-01-09 23:59:59.999000+00:00,766640085.930397,667559.0,290264.2976,382393990.070957
2023-01-10 00:00:00+00:00,1320.4,1347.69,1316.8,1335.62,459660.2307,2023-01-10 23:59:59.999000+00:00,611680590.741332,467419.0,223763.8926,297762851.611724
2023-01-11 00:00:00+00:00,1335.63,1398.0,1321.04,1389.39,472465.9556,2023-01-11 23:59:59.999000+00:00,635118946.429521,534745.0,235594.2237,316751892.101341
2023-01-12 00:00:00+00:00,1389.4,1438.0,1361.92,1415.92,877712.4492,2023-01-12 23:59:59.999000+00:00,1231660847.868249,873540.0,438919.3883,616089439.700554
2023-01-13 00:00:00+00:00,1415.91,1464.0,1401.03,1451.2,499377.8649,2023-01-13 23:59:59.999000+00:00,709963291.541629,670535.0,259443.2548,368821974.142587
2023-01-14 00:00:00+00:00,1451.21,1599.98,1449.14,1549.9,940691.7774,2023-01-14 23:59:59.999000+00:00,1444283818.189171,1187799.0,482842.2219,741178178.577223
2023-01-15 00:00:00+00:00,1549.91,1566.66,1516.03,1552.52,387832.7138,2023-01-15 23:59:59.999000+00:00,596626752.297843,590180.0,192499.6889,296178077.150001
2023-01-16 00:00:00+00:00,1552.52,1604.5,1521.31,1576.94,574622.8953,2023-01-16 23:59:59.999000+00:00,897953752.929984,802443.0,283353.4366,442958606.028479
2023-01-17 00:00:00+00:00,1576.94,1609.0,1541.15,1565.57,506771.7219,2023-01-17 23:59:59.999000+00:00,797552620.187337,703325.0,253800.4618,399512238.701721
2023-01-18 00:00:00+00:00,1565.56,1610.0,1501.39,1511.43,752534.8857,2023-01-18 23:59:59.999000+00:00,1172243167.729863,913587.0,379449.3465,591240910.364482
2023-01-19 00:00:00+00:00,1511.44,1564.43,1509.15,1551.09,308679.4645,2023-01-19 23:59:59.999000+00:00,473220810.93493,477203.0,157860.3364,242038742.951305
2023-01-20 00:00:00+00:00,1551.09,1669.9,1542.02,1658.52,440570.9974,2023-01-20 23:59:59.999000+00:00,702227917.870663,710633.0,230258.0214,367212821.332237
2023-01-21 00:00:00+00:00,1658.53,1679.26,1616.21,1626.66,494248.6009,2023-01-21 23:59:59.999000+00:00,815990095.346851,648695.0,242585.2946,400675000.350255
2023-01-22 00:00:00+00:00,1626.65,1663.89,1604.0,1627.44,431729.6909,2023-01-22 23:59:59.999000+00:00,703883818.617405,550009.0,216146.2179,352401960.260315
2023-01-23 00:00:00+00:00,1627.43,1648.09,1585.29,1626.29,407267.1156,2023-01-23 23:59:59.999000+00:00,662442276.006642,602844.0,203026.4669,330314516.706953
2023-01-24 00:00:00+00:00,1626.28,1641.46,1535.0,1555.97,462275.3243,2023-01-24 23:59:59.999000+00:00,742483248.778448,664260.0,219529.2586,352794905.892124
2023-01-25 00:00:00+00:00,1555.97,1641.0,1518.0,1611.94,646474.9166,2023-01-25 23:59:59.999000+00:00,1010958308.523259,832576.0,336800.3351,527017728.015549
2023-01-26 00:00:00+00:00,1611.95,1632.84,1577.43,1601.09,532777.8466,2023-01-26 23:59:59.999000+00:00,856294452.549072,661710.0,255584.4969,410800055.45538
2023-01-27 00:00:00+00:00,1601.08,1621.0,1552.54,1597.62,512093.3875,2023-01-27 23:59:59.999000+00:00,810894459.592812,721339.0,271725.69,430230772.25918
2023-01-28 00:00:00+00:00,1597.61,1606.83,1555.99,1572.1,313675.6574,2023-01-28 23:59:59.999000+00:00,496009423.632769,461988.0,159807.553,252625590.628539
2023-01-29 00:00:00+00:00,1572.1,1660.0,1566.33,1644.72,551767.9134,2023-01-29 23:59:59.999000+00:00,892135111.02851,747055.0,281776.0177,455478541.954577
2023-01-30 00:00:00+00:00,1644.73,1647.53,1535.0,1566.2,595055.3281,2023-01-30 23:59:59.999000+00:00,945663093.918117,783703.0,287321.0407,456477684.329537
2023-01-31 00:00:00+00:00,1566.21,1605.18,1561.63,1585.33,348856.6751,2023-01-31 23:59:59.999000+00:00,550862274.147693,565125.0,173798.9667,274479554.846062
2023-02-01 00:00:00+00:00,1585.32,1647.77,1555.18,1641.68,474617.1709,2023-02-01 23:59:59.999000+00:00,757974339.888151,795274.0,246070.2217,393191559.89692
2023-02-02 00:00:00+00:00,1641.67,1714.68,1626.85,1643.12,629188.8874,2023-02-02 23:59:59.999000+00:00,1052104526.872657,939545.0,314689.8073,526350550.18805
