Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2024-01-01 00:00:00+00:00,42283.58,44184.1,42180.77,44179.55,27174.29903,2024-01-01 23:59:59.999000+00:00,1169995682.0280013,1114623,14331.7318,617352094.5605193
2024-01-02 00:00:00+00:00,44179.55,45879.63,44148.34,44946.91,65146.40661,2024-01-02 23:59:59.999000+00:00,2944331821.823076,2247532,33817.14447,1527964124.2375848
2024-01-03 00:00:00+00:00,44946.91,45500.0,40750.0,42845.23,81194.55173,2024-01-03 23:59:59.999000+00:00,3507104563.744232,2658041,39103.99162,1687665202.9513144
2024-01-04 00:00:00+00:00,42845.23,44729.58,42613.77,44151.1,48038.06334,2024-01-04 23:59:59.999000+00:00,2095095359.4936347,1819944,23605.90059,1030075267.839013
2024-01-05 00:00:00+00:00,44151.1,44357.46,42450.0,44145.11,48075.25327,2024-01-05 23:59:59.999000+00:00,2100953924.3687155,2064845,24015.06426,1049655019.1400094
2024-01-06 00:00:00+00:00,44145.12,44214.42,43397.05,43968.32,17835.06144,2024-01-06 23:59:59.999000+00:00,781212883.4916061,956642,9048.57073,396341787.3638776
2024-01-07 00:00:00+00:00,43968.32,44480.59,43572.09,43929.02,23023.8508,2024-01-07 23:59:59.999000+00:00,1014635096.1241482,1109259,11613.52347,511871007.52582633
2024-01-08 00:00:00+00:00,43929.01,47248.99,43175.0,46951.04,72814.57589,2024-01-08 23:59:59.999000+00:00,3298772150.6815076,2364464,38728.8053,1755312207.6681833
2024-01-09 00:00:00+00:00,46951.04,47972.0,44748.67,46110.0,69927.66617,2024-01-09 23:59:59.999000+00:00,3251442072.8083963,2637745,34825.45429,1620151226.3362696
2024-01-10 00:00:00+00:00,46110.0,47695.93,44300.36,46653.99,89911.41203,2024-01-10 23:59:59.999000+00:00,4123809481.712767,3133588,46910.79439,2153126701.352164
2024-01-11 00:00:00+00:00,46654.0,48969.48,45606.06,46339.16,87470.3296,2024-01-11 23:59:59.999000+00:00,4105139605.028302,2998451,44076.1683,2070467939.6599925
2024-01-12 00:00:00+00:00,46339.16,46515.53,41500.0,42782.73,86327.93707,2024-01-12 23:59:59.999000+00:00,3827483735.576057,2809192,41707.58066,1850840878.9778297
2024-01-13 00:00:00+00:00,42782.74,43257.0,42436.12,42847.99,36118.47464,2024-01-13 23:59:59.999000+00:00,1547370611.5531662,1434243,17748.09824,760432218.245455
2024-01-14 00:00:00+00:00,42847.99,43079.0,41720.0,41732.35,28228.40894,2024-01-14 23:59:59.999000+00:00,1202212782.257693,1235727,13690.30843,583261659.738576
2024-01-15 00:00:00+00:00,41732.35,43400.43,41718.05,42511.1,40269.89303,2024-01-15 23:59:59.999000+00:00,1718982911.1081028,1657611,19924.7603,849997411.0875828
2024-01-16 00:00:00+00:00,42511.1,43578.01,42050.0,43137.95,45045.74589,2024-01-16 23:59:59.999000+00:00,1931947150.0590703,1716580,24064.55667,1031525441.9352084
2024-01-17 00:00:00+00:00,43137.94,43198.0,42200.69,42776.1,33266.21388,2024-01-17 23:59:59.999000+00:00,1419888430.9228892,1438172,16648.20529,710532768.047578
2024-01-18 00:00:00+00:00,42776.09,42930.0,40683.28,41327.5,43907.51641,2024-01-18 23:59:59.999000+00:00,1839426541.2635791,1466087,21085.14336,883292634.2063637
2024-01-19 00:00:00+00:00,41327.51,42196.86,40280.0,41659.03,48342.74559,2024-01-19 23:59:59.999000+00:00,1993846466.538752,1641428,24347.5002,1004478721.3792056
2024-01-20 00:00:00+00:00,41659.03,41872.56,41456.3,41696.04,15923.99493,2024-01-20 23:59:59.999000+00:00,662768008.1509343,807324,7557.36632,314535141.9955636
2024-01-21 00:00:00+00:00,41696.05,41881.39,41500.98,41580.33,11730.16301,2024-01-21 23:59:59.999000+00:00,489151571.0309043,657817,5576.56045,232552207.16073287
2024-01-22 00:00:00+00:00,41580.32,41689.65,39431.58,39568.02,55426.19911,2024-01-22 23:59:59.999000+00:00,2247452153.7954326,2147250,26788.13985,1086650848.0670524
2024-01-23 00:00:00+00:00,39568.02,40176.74,38555.0,39897.6,57956.63351,2024-01-23 23:59:59.999000+00:00,2275851990.6468267,2043925,30913.97177,1214417243.6964118
